,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description,year,month,day,Weekday,WeekofYear
10,Country_01,Local_03,Mining,1,III,Male,Employee,Others,installing segment polyurethane pulley protective lyner x x cm weighing kg head pulley ore winch pulley rotated compress lyner inside channel falls housing rubbing right side worker hip generating injury described,2016,1,28,Thursday,4
11,Country_01,Local_03,Mining,1,IV,Male,Third Party,Others,preparing rice lunch day moving pot kg weight including contents evacuate residual water cooking rice positioning pot jaba tilts backwards spilling ml hot water cook leg cook immediately event applies first aid pouring cold water area injury go medical post evaluation,2016,1,30,Saturday,4
12,Country_02,Local_05,Metals,1,I,Male,Employee,Liquid Metal,collaborator reports working ustulaci n realized cyclone duct obstructed opened door try unclog material detached projected towards employee causing small burn right heel,2016,2,1,Monday,5
13,Country_01,Local_01,Mining,4,V,Male,Third Party,Electrical installation,moments operator jumbo tried energize equipment proceed installation split set intersection nv remove lock opening electric board v lifting thermomagnetic key makes phase ground phase contact panel shell producing flash reaches operator causing injury described,2016,2,2,Tuesday,5
14,Country_02,Local_05,Metals,1,III,Male,Employee,Confined space,due accumulation waelz conveyor trailer filter fi employee performed cleaning shutter using air lance surprised fall product door passing neck collar aramid jacket causing burn neck shoulder,2016,2,4,Thursday,5
15,Country_02,Local_05,Metals,1,IV,Male,Employee,Liquid Metal,employee working thermal shock caused splash zinc direction employee despite using indicated ppe hit small spatters passed facila hood small burn face region,2016,2,4,Thursday,5
16,Country_01,Local_04,Mining,3,IV,Male,Third Party,Others,rp level circumstances workers company performing task diamond drilling assistants jhonatan injured nilton preparing increase hq perforation pipe located scaffolding mr jhonatan lifts one end tube supports pulley equipment frame end working scaffolding moment mr nilton lifts end hq pipe scaffolding position frame upper part pipe comes pulley falling striking right hand worker jhonatan bolts lateral part frame causing injury described,2016,2,6,Saturday,5
17,Country_01,Local_06,Metals,1,II,Female,Third Party,Others,due overheating bars row cell spark produced projected manages reach chief guard corridor producing first degree burn neck,2016,2,7,Sunday,5
18,Country_01,Local_06,Metals,1,II,Male,Employee,Others,auxiliary wheel cathode crane g changed area bearing heated hit hammer chisel one end bearing track detachment bearing piece occurred impacting thigh right leg producing cut ambulance called transferred clinic,2016,2,8,Monday,6
19,Country_01,Local_06,Metals,1,III,Male,Employee,Others,worker manuel making disconnection power cables gate intersection manco streets cajamarquilla order remove circumstances mr jos worker company removing rope tied body gate yields falls pulling warning post hits helmet mr standing side,2016,2,21,Sunday,7
20,Country_01,Local_06,Metals,1,II,Male,Third Party,Others,operator samuel open container subsequent loading silver concentrate opened first gate afterwards tries open second door product opening latter first one opens impacts handle safety lens generates injury left cheekbone face operator,2016,2,25,Thursday,8
21,Country_01,Local_03,Mining,1,IV,Male,Third Party,Others,raise chamber operator assistant removed drilling bar r drilling machine weight approx kg holding top tm stroke assisted jibs move horizontally operator jib bottom slides moving top drill bar causing assistant bar enforce assistant hand bar piston equipment,2016,2,9,Tuesday,6
22,Country_01,Local_03,Mining,2,IV,Male,Third Party,Others,aligning right bracket tower n releasing tension applied tirford tn pushing lever towards tension release point returns mechanical effect overcoming resistance lineman operator reshaping hands assistant beating assistant frontal region,2016,2,10,Wednesday,6
23,Country_02,Local_02,Mining,2,II,Male,Third Party (Remote),Others,loosening truck steering cylinder bolt using power cable socket force exerted favor equipment bolt suddenly retired employee hit hand structure equipment causing injury,2016,2,15,Monday,7
24,Country_01,Local_06,Metals,1,II,Male,Third Party,Others,operator g deslaminadora section unlocking sheet zinc stuck enter slide stacking table requires support mr mollares helps hold sheet place entry chute slide moment releasing blade tilted brushed mr mollares left leg collaborator went nearby eyewash cleaning immediately medical center,2016,2,14,Sunday,6
25,Country_01,Local_06,Metals,1,II,Male,Employee,Manual Tools,operator willing manually displace zinc sheet adhered aluminum cathode moment blade detached blade released cathode bending grazing collaborator right hand producing small cuts knuckles fingers worker made use gloves leather worker transferred medical unit first aid,2016,2,15,Monday,7
26,Country_01,Local_01,Mining,1,I,Male,Employee,Others,end lunch enabled place side winche control room gets short walk slips sits floor making contact left knee taking importance rest guard guard finished goes safety communicates fact reason derived natclar attention,2016,2,13,Saturday,6
27,Country_01,Local_03,Mining,1,III,Male,Third Party,Others,end rock break intersection ramp opening access ventilation chimney master loader identifies rocks mesh proceeding unload end decides verify still remains positioning line fire time fragment rock falls x x cm gr cocada mesh impacting lens helmet causing injury,2016,2,15,Monday,7
28,Country_01,Local_01,Mining,1,IV,Male,Employee,Others,worker carried work level stop placed metal mesh basket soil half scissor mesh falls hits back right hand,2016,2,16,Tuesday,7
29,Country_02,Local_07,Mining,2,III,Male,Employee,Others,using griff wrench unscrew rod probe key came move pressing employee finger probe,2016,2,16,Tuesday,7
30,Country_01,Local_03,Mining,1,II,Male,Employee,Others,plant operator semi kneeling lifting lid gate kg distributor box secondary mill right knee slips due presence debris spilled platform floor grating gave extra effort left leg generating muscle contracture,2016,2,17,Wednesday,7
31,Country_01,Local_03,Mining,1,II,Male,Employee,Others,level access times engineer trainee planamieto entered verify amount split set placed scissor support holding notebook pen left hand inspecting roof work lost balance stepping rock holding right hand rock floor causing injury worker time accident wore gloves use made difficult take notes,2016,2,19,Friday,7
32,Country_01,Local_01,Mining,3,IV,Male,Third Party,Others,worker yaranga working barretilla stop level unloading metal mesh basket ampoloader operator juan barretilla embedded safety boot reacting immediately worker removing limb force managing release foot producing wound right foot,2016,2,21,Sunday,7
33,Country_01,Local_04,Mining,5,V,Male,Third Party,Others,approximately p circumstances shotcrete launched nv bp ob b finishing launch first mixkret assistant alpha mr albertico asks operator mixkret mr jhony move mixkret access finding cockpit mixkret operator launcher team mr danon asks come team started noticed mr danon injured imprisoned team height left rear rim hastial de la labor,2016,2,20,Saturday,7
34,Country_02,Local_05,Metals,1,II,Male,Employee,Others,employee clearing pipe tapped right thumb flange causing little trauma,2016,2,15,Monday,7
35,Country_02,Local_05,Metals,1,III,Male,Third Party (Remote),Pressed,replacing telescopic expansion joint hdpe pipe storm drainage pumping system reports piece involuntarily moved positioned holder pressing finger holder causing wound right chemo,2016,2,18,Thursday,7
36,Country_01,Local_01,Mining,1,IV,Male,Third Party,Others,withdrawal kelly bar conductive bar kg length cm diameter equipment perforation part two workers one positioned low part tie bar injured one position upper part hold bar positioning bar platform lose control bar moving cm nd finger right hand pulleys frame time accident worker wearing safety gloves drill rig blocked,2016,2,22,Monday,8
37,Country_02,Local_07,Mining,1,V,Male,Employee,Others,starting activity removing coil electric cables warehouse help forklift truck operator notice beehive due movement coil bees excited realizing fact operator turned equipment left area people passing stung,2016,2,24,Wednesday,8
38,Country_02,Local_07,Mining,1,V,Female,Third Party,Others,starting activity removing coil electric cables warehouse help forklift truck operator notice beehive due movement coil bees excited realizing fact operator turned equipment left area people passing stung,2016,2,24,Wednesday,8
39,Country_01,Local_01,Mining,1,IV,Male,Employee,Others,pre use inspection jumbo check list equipment operator equipment finds behind seat plastic bottle filled liquid apparently mineral water without label labeling take bottle take small sip liquid expelling immediately noticing water immediately proceeds wash enough water transferred medical center attention liquid contact esengrasante product equipment machinery low toxicity,2016,2,24,Wednesday,8
40,Country_02,Local_02,Mining,2,IV,Male,Employee,Others,maintenance flyght pump rotor oil pressure lubrication chamber caused chamber cover projected towards employee face striking superficially forehead causing injury,2016,2,29,Monday,9
41,Country_01,Local_06,Metals,1,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,approx leakage sulfur dioxide section due water seal blowing due overpressure acid plant moment collaborators cormei companies eissa cosapi work near impacted area evacuated medical center care returned usual work,2016,2,26,Friday,8
42,Country_01,Local_01,Mining,1,III,Male,Third Party,Others,performing cutting meshes protruding gables work assistant loader positioned mt floor using portable ladder held base master loader time loader assistant loses balance falling held mesh hand hanging mt floor causing injury,2016,2,27,Saturday,8
43,Country_02,Local_08,Metals,1,III,Male,Employee,Pressed,operator center demag iv performing maintenance transporting hydraulic cylinder help another operator official unbalanced coming cylinder carried press finger left thumb pillar support oven specified figure,2016,3,2,Wednesday,9
44,Country_01,Local_06,Metals,1,III,Male,Employee,Blocking and isolation of energies,start neutral leaching process employee jhonatan proceeds open air valve tank airlift circumstance process solution returns chimney solution coming contact arm right foot,2016,3,2,Wednesday,9
45,Country_01,Local_03,Mining,1,III,Male,Third Party,Others,time two assistants carrying bag cement weighing kg lamp loader suspended cm floor left foot one assistants slid hit edge baton,2016,3,3,Thursday,9
46,Country_01,Local_06,Metals,1,III,Male,Employee,Manual Tools,operator cleaned spatula spear one windows boiler time force action hit window frame causing injury little finger left hand operator epp boiler cleaning,2016,3,4,Friday,9
47,Country_01,Local_03,Mining,1,IV,Male,Employee,Others,locomotive operated maperu personnel directed wagons loaded ore op waste bin next waste bin patrol car goes back wagons moment passed change track left rear wheel patrol car leaves rail advancing locomotive leaving patrol car tilted ahead assistant motorist traveled alone patrol car remained inside structure suffered minor bruises,2016,3,5,Saturday,9
48,Country_01,Local_04,Mining,1,III,Male,Employee,Others,pit level radial drilling performed negative holes simba c ith equipment assistant equipment operator made change drill bit metal bar hammer released coupling rotation unit abruptly withdrawing hands hit back right hand team structure time accident team paid,2016,3,6,Sunday,9
49,Country_01,Local_03,Mining,3,IV,Male,Third Party (Remote),Others,time worker another partner preparing move oil cylinder gallons mobile platform mounted rails platform weighing approximately kg derailed leaves rail order place platform rail workers lift platform instants right hand one trapped rail platform structure held metallic tube protruding platform accident caused bruised wound index finger right hand fracture time accident wore leather type safety gloves,2016,3,6,Sunday,9
50,Country_01,Local_06,Metals,1,IV,Male,Third Party,Suspended Loads,operator feeding bag big bag containing scraps zn sheets lifting loaded bag released hook hoist making abrupt contact liquid zinc furnace generating explosion causing operator hit liquid zinc,2016,3,9,Wednesday,10
51,Country_01,Local_03,Mining,3,V,Male,Third Party,Others,circumstances two workers company incimmet made loading explosives using equipment anfoloader front work sustained shotcreterepentinamente right superior part crown piece rock approx kg mx mx impacting basket back helper basket suspended height moments later block rock detached wall gable approx kg mx mx impacts ampoloader team part block injures operator ampoloader team standing ground equipment anfoloader cabin protection rops fops time accident workers used helmets safety boots suffered polyontusions minor scoria injuries,2016,3,11,Friday,10
52,Country_01,Local_03,Mining,1,V,Male,Third Party,Others,circumstances two workers company incimmet fectuaban loading explosives using equipment anfoloader front work sustained shotcreterepentinamente right superior part crown piece rock approx kg mx mx impacting basket back helper basket suspended height moments later block rock detached wall gable approx kg mx mx impacts ampoloader team part block injures operator ampoloader team standing ground equipment anfoloader cabin protection rops fops time accident workers used helmets safety boots suffered polyontusions minor scoria injuries,2016,3,11,Friday,10
53,Country_01,Local_03,Mining,1,IV,Male,Third Party (Remote),Others,mechanic assistant throwing wooden blocks support stabilizer hiab crane truck ground descending truck access ladder arriving last step jumps towards ground height cm treading edge one wooden blocks cause injury left ankle,2016,3,13,Sunday,10
54,Country_02,Local_07,Mining,3,IV,Male,Employee,Others,manually moving steel cabinet disposal help another employee operator finger pressed wall cabinet causing injury,2016,3,12,Saturday,10
55,Country_01,Local_06,Metals,2,III,Male,Third Party (Remote),Chemical substances,discharge waste operator proceeds remove bag hose rolled circumstance one ends hose moves direction face driver projecting liquid contained impacting ear part face,2016,3,14,Monday,11
56,Country_01,Local_03,Mining,1,III,Male,Employee,Others,circumstances operator going level level noticed hydraulic pump inspection cover x x kg approx fall stopped equipment activates cats climbs upper part equipment moments accommodated cover slides middle finger causing injury,2016,3,13,Sunday,10
57,Country_01,Local_04,Mining,1,II,Male,Third Party,Others,installing ripper pin tractor n ripper support arm slides pressing second third fingers right hand base ripper causing injury described,2016,3,16,Wednesday,11
58,Country_02,Local_05,Metals,1,II,Male,Employee,Pressed,employee reports lowered cloths purification arranged cart would grab pipe pressing left hand cloths cart,2016,3,10,Thursday,10
59,Country_01,Local_01,Mining,1,II,Male,Third Party,Others,end loading explosives work front master loader enters verify mooring blasting accessories retiring top hears sound fragments rock rolling support mesh directs gaze towards crown vertical form point small fragment rock x x cm gr passes openings mesh sustaining impact forehead time event collaborator used helmet safety lens front support top sacrifice mesh opening support mesh x,2016,3,17,Thursday,11
60,Country_02,Local_08,Metals,2,II,Male,Employee,Manual Tools,employee performing adjustment tightening operation cutter blade worked neglected key slip causing blade equipment hit causing blunt cut right forearm,2016,3,16,Wednesday,11
61,Country_01,Local_04,Mining,4,IV,Male,Third Party,Others,approximately circumstances messrs truck crane william de la cruz culminated shipment blocks metal plates approximate weight kg mr william de cross rigger climbs onto truck remove sling places feet stretcher supported metal plates moment central part stretcher broken result two feet imprisoned producing injury,2016,3,18,Friday,11
62,Country_01,Local_01,Mining,1,III,Male,Employee,Others,placement last support mesh cloth work moments ground injured collaborator reached electrowelded mesh operator scissor bolter positioned basket pressing mesh one protruding ends mesh crosses leather glove causing injury right hand,2016,3,19,Saturday,11
63,Country_02,Local_05,Metals,1,IV,Male,Employee,Chemical substances,employee checked acid leakage shipping area hit splashes solution right hemiface,2016,3,14,Monday,11
64,Country_02,Local_05,Metals,1,IV,Male,Employee,Fall prevention (same level),employee clearing liquid zinc pump oven stepped platform became unbalanced twist left foot,2016,3,18,Friday,11
65,Country_02,Local_05,Metals,1,IV,Male,Employee,Chemical substances,employee transiting toward cadmium factory near tank copper sulphate acid solution spilled direction reaching legs causing minor burns,2016,3,18,Friday,11
66,Country_01,Local_03,Mining,1,II,Male,Employee,Others,carrying activity cutting electrowelded mesh work front assistant positions feet one end mesh leaving end free moment assistant bends make cut shear end free mesh returns inertia hitting partner safety lens,2016,3,22,Tuesday,12
67,Country_01,Local_01,Mining,4,IV,Male,Third Party,Others,refurbishment work hdpe pipes diameter two workers worker secured pipe chain standing basket ampoloader raised height ground pipe slipped impacted arm right causing injury radius right arm,2016,3,22,Tuesday,12
68,Country_01,Local_01,Mining,1,IV,Male,Third Party,Others,circumstances dump truck laden ore entered unload backwards curve upper part via la laquia operator notice unevenness road approximately one meter approaching edge overturning truck right side operator traveled alone truck made use safety belt helmet glasses time accident unloading process two squares accident site test alcohotest operator negative,2016,3,25,Friday,12
69,Country_01,Local_04,Mining,2,IV,Male,Third Party,Others,approximately pm level cx bp circumstances workers company rock performed anchorage central pin anchoring drilling machine diamantina xrd bob cat assistant cristian injured made adjustment nut central bolt stilson key simultaneously jose control panel made movement rotation unit positioning clamp pin moment frame slid pressing thumb assistant left hand stilson key causing described injury due lack securing frame fixing bolts,2016,3,30,Wednesday,13
70,Country_01,Local_03,Mining,1,III,Male,Employee,Others,carried mechanized support scissor heavy equipment operator picks water supply hose towards drum equipment heading towards cabin scissor way piece rock cm high approx displaces sliding right foot causing injury described,2016,3,30,Wednesday,13
71,Country_01,Local_06,Metals,1,III,Male,Employee,Others,approximately h supervising line clamping pom roy canario returning thickener hits nose metal chute operation,2016,3,31,Thursday,13
72,Country_02,Local_08,Metals,1,III,Male,Third Party (Remote),Pressed,employee performing truck unloading operation iron bundle pressed right finger injured left arm,2016,3,31,Thursday,13
73,Country_01,Local_03,Mining,1,III,Male,Third Party,Others,loading two blown holes previous blasting use telescopic ladder master loader pulls ladder detaching upper support point mt height fragment rock cm x cm x cm gr projected right end ladder hitting master loader cheekbone upper lip producing lesion described master shipper used safety glasses,2016,4,1,Friday,13
74,Country_01,Local_01,Mining,3,V,Male,Third Party,Others,plant stop scheduled maintenance almost end change fitting hdp pipe diameter resident enters work zone bottom supervise work moment four workers anchored harness upper part manipulating accessory tie flanges hdp pipe pvc diameter suddenly pvc pipe comes support pipe fine material tailings weight kg falls height meters floor bounces imprisons resident engineer injured worker lower part line fire,2016,4,3,Sunday,13
75,Country_01,Local_01,Mining,1,III,Male,Employee,Others,parking equipment dumper maintenance workshop mechanic asks operator back equipment washing operator starts reverse gear cab door fully open upon reaching washing area meters behind brakes cabin door closes untimely hits face causing minor injury area mechanic floor level safe place,2016,4,2,Saturday,13
76,Country_01,Local_01,Mining,1,V,Male,Third Party (Remote),Others,circumstances two workers abratech company putty work inside conditioning tank meters deep covered platforms metal gratings grating upper part two employees hyt company carried maneuvers transfer pump help manual tick worked hooked beam h dragging pump metal gratings grating suddenly pump hooked metal grate grating trying release metal grid grating kg cm x cm falls inside tank hits diagonal channel inside tank impacts right arm one workers rubs helmet second worker crouching area bomb moved marked tape lookout,2016,4,1,Friday,13
77,Country_01,Local_01,Mining,1,V,Male,Third Party (Remote),Others,circumstances two workers abratech company putty work inside conditioning tank meters deep covered platforms metal gratings grating upper part two employees hyt company carried maneuvers transfer pump help manual tick worked hooked beam h dragging pump metal gratings grating suddenly pump hooked metal grate grating trying release metal grid grating kg cm x cm falls inside tank hits diagonal channel inside tank impacts right arm one workers rubs helmet second worker crouching area bomb moved marked tape lookout,2016,4,1,Friday,13
78,Country_03,Local_10,Others,2,II,Male,Third Party,Others,accessing santa novo area order open chop general moving ahead team order open access manetometer came across area steep slope gravel presence certain place access employee slipped coming become unbalanced moment machete left hand came slip right leg knee causing cut cm,2016,3,10,Thursday,10
79,Country_03,Local_10,Others,4,IV,Male,Third Party,Poll,performing sleeve removal maneuver hole meters deep general da silva pressed one side locking nut rods together jack holds entire weight rods maneuver locking procedure effective weight rods secured steel wire rope probe winch moment driller pedro released brake winch inefficacy locking done one side chestnut without aid monkey caused sliding rods auxiliary prepared manual unlocking rods holding faucet key firmly probe tower composition shifted stems slid hands shifted downward causing left hand strike base probe tower structure causing cuts th th quirodactyl employee taken hospital went medical care wound sutured stitches removed days activities,2016,3,24,Thursday,12
80,Country_03,Local_10,Others,1,I,Male,Third Party,Others,trip vehicle end work collaborator rhainer stepped object could identify thus coming pierce sole boot causing small hole sole left foot collaborator perforation possibly due stump wood since area covered collaborator pasture grazed recently near residence,2016,3,22,Tuesday,12
81,Country_01,Local_03,Mining,1,II,Male,Third Party,Others,workshop level box two mechanics manipulated steel plate cm x cm x cm kg place gutter workshop able remove scaler plate slides restricts right ring finger gable plate causing injury collaborator used gloves time accident,2016,3,31,Thursday,13
82,Country_02,Local_09,Metals,3,IV,Male,Employee,Manual Tools,opens suction valve bo acid pump cable pump comes loose pressing th finger employee left hand tubing causing fracture distal phalanx photos,2016,4,4,Monday,14
83,Country_01,Local_06,Metals,1,III,Male,Third Party,Fall prevention (same level),worker carried disassembly scaffolding bodies pulpomatic thickener dismantling base scaffold located approximately one meter high floor sump rivets anchor support platform broken causing fall worker impacting right knee support anchored one horizontals scaffolding structure,2016,4,5,Tuesday,14
84,Country_02,Local_05,Metals,1,III,Male,Third Party,Pressed,employee reports handling air conditioning pressed nd right chirodactilo causing contusion,2016,4,5,Tuesday,14
85,Country_01,Local_03,Mining,1,II,Male,Third Party,Others,parking van next cluster wooden sleepers boards driver descending stepped board iron nail protruded long identify board submerged puddle water accident caused minor wound sole left foot time accident worker wearing safety boots,2016,4,7,Thursday,14
86,Country_01,Local_03,Mining,1,IV,Male,Employee,Others,maintenance locomotive n workshop level assistant pulling locomotive chair backwards stumbles ventilation grille falling platform locomotive floor workshop height generating injury time accident assistant used safety helmet chin strap,2016,4,8,Friday,14
87,Country_01,Local_01,Mining,1,IV,Male,Third Party,Others,rb machine lifted weight tn cm floor level accidently proceeds pull rb machine key tons maximum cap lay floor advancing cm horizontally anchor bolt pig tail type diameter key hooked breaks transversely pulling force key projected onto injured person left shoulder causing injury injured meters key time incident assistant meters away order cleaning,2016,4,11,Monday,15
88,Country_01,Local_01,Mining,1,IV,Male,Employee,Others,positioning scissor bolter n east stope meters top operator assistant verify ventilation sleeve obstruct support left gable decide section sleeve direct towards main corridor injured person decides climb roof equipment cabin surface square meters carry reinstallation sectioned sleeve without noticing steps empty falls equipment height meters time accident operator scissor bolter platform equipment positioned blocked perform maintenance assistant wearing safety helmet chin strap,2016,4,11,Monday,15
89,Country_02,Local_08,Metals,1,III,Male,Employee,Pressurized Systems,cleaning vertical pipe using hydrojet equipment high pressure hose hose returned due obstruction pipe residue reaching operator actuating equipment pedal,2016,4,14,Thursday,15
90,Country_01,Local_04,Mining,1,II,Male,Third Party,Others,bypass level workers company incimet raul operator bolter bolting team rolando assistant retired installing support helical bolt pink team mesh overhanging gable teacher tells assistant cut mesh instant assistant finished cutting mesh suddenly rises hitting face causing injury described,2016,4,14,Thursday,15
91,Country_01,Local_04,Mining,1,III,Male,Third Party,Others,approximately luna master loader company incimet carrying loading activity front cruiser level moments tying pentacord crown trying reach fanel left side loses balance movement ladder falls floor resulting accident,2016,4,16,Saturday,15
92,Country_01,Local_03,Mining,1,III,Male,Third Party,Others,moments worker mechanic workshop maintenance wire mining lamp hooked drill hole kg work table workshop fell impacted left foot causing minor bruise time accident collaborator used safety boots steel toecap,2016,4,16,Saturday,15
93,Country_01,Local_03,Mining,1,II,Male,Employee,Others,general store two store attendants removed compartment rubber mesh material classification x x kg weight lifted approx cm position edge another mesh placed floor litter slightly imprisons index finger right hand one assistants causing minor cutting wound time accident injured worker used leather gloves,2016,4,15,Friday,15
94,Country_02,Local_05,Metals,1,IV,Male,Employee,Cut,employee reports attempting manually ingot zinco rotary table l ingot hit left hand angle structure ingot pressing finger ingot angle,2016,4,17,Sunday,15
95,Country_01,Local_03,Mining,1,III,Male,Third Party,Others,moving roll electro welded mesh kg weight place hopper truck two operators pull roll mesh bring hopper truck time imprisonment left hand one operators mesh body hopper generating described injury time accident operators wearing pvc type safety gloves,2016,4,18,Monday,16
96,Country_02,Local_02,Mining,1,V,Male,Employee,Others,performing cleaning lhd block f level operator surprised rock block displacement side gallery reaching right leg causing superficial injury,2016,4,21,Thursday,16
97,Country_01,Local_01,Mining,1,II,Male,Third Party,Others,workshop end welding work small bolter equipment welder proceeds clean inside metal stool impregnated thinner flammable liquid help hammer screwdriver proceeds remove oxides hitting screwdriver hammer produces flash internal base stool produces slight burn right hand welder time accident welder uses glove left hand,2016,4,22,Friday,16
98,Country_01,Local_04,Mining,1,III,Male,Employee,Others,pm approximately nv ob cx mr cesar operator mine services instant picking cat position one truck crane plate acl raising right hand lower part cat indexed index finger left hand body cylinder valve cat valve turntable upper part,2016,4,23,Saturday,16
99,Country_02,Local_05,Metals,2,IV,Male,Third Party,Pressurized Systems / Chemical Substances,employee reports placed air lance tank opened manual air valve projection acid solution heated toward reaching front left thigh,2016,4,22,Friday,16
100,Country_02,Local_05,Metals,1,II,Female,Third Party,Cut,injured woman performed cleaning cleaning sink collection room pierced finger fragment glass,2016,4,26,Tuesday,17
101,Country_02,Local_05,Metals,1,III,Male,Third Party (Remote),Chemical substances,discharging sodium hydroxide disconnecting hose employee placed next demineralization suction pump turned receiving projection pump sensor causing st degree burn,2016,4,28,Thursday,17
102,Country_01,Local_04,Mining,3,IV,Male,Third Party,Others,mr jesus operator concrete throwing team alpha n shooting shotcrete cx work nv ob applying realizes additive come mix directing lift cover passage valve cm x cm inch thickness approximately kg verifying valve open release lid hits third finger left hand base causing injury,2016,4,29,Friday,17
103,Country_02,Local_05,Metals,1,IV,Male,Employee,Pressed,employee performed return load entrance debarking machine trying align cathode pressed right hand,2016,4,30,Saturday,17
104,Country_01,Local_01,Mining,1,II,Male,Employee,Others,injured worker begins work presenting support mesh cloth floor making initial cut mesh section x ponchos originating remaining mesh wicks tips prongs protruding trying make second mesh cut positioned edge remaining mesh wicks prevent curling point tries take shear remove right foot mesh causing mesh roll embed wick tip poles left boot causing injury time accident worker wearing safety boots,2016,4,30,Saturday,17
105,Country_01,Local_03,Mining,4,IV,Male,Third Party,Others,ddh chamber company explomin located level socorro ramp worker assistant driller dismantling fifth drill rod nq meters steel weight kg using stilson key moment operator operates rotation unit drill rod rotates pressing left hand worker base rod holder causing injury left hand time accident drilling assistant used rubber gloves,2016,4,30,Saturday,17
106,Country_01,Local_04,Mining,1,IV,Male,Third Party,Others,carrying maneuver increase hq pipe line driller wilder indicates assistant gilton introduce inner pipe drill assistant introduces inner pipe places hand box pipe driller without noticing moves pipe assistant hand opens chuck rotation unit dropping pipe imprisoning injured person right hand causing injury,2016,5,1,Sunday,17
107,Country_02,Local_05,Metals,1,IV,Female,Third Party (Remote),Chemical substances,employee reports climbing access ladder operating room ustulation surprised projection sulfuric acid,2016,5,2,Monday,18
108,Country_03,Local_10,Others,1,I,Male,Third Party,Manual Tools,performing geological mapping activity necessary hammer rock analysis moment clerk held pointed fragment slipped third quirodactyl right hand causing superficial cut,2016,5,4,Wednesday,18
109,Country_01,Local_04,Mining,2,IV,Male,Third Party,Others,p approximately nv cx mr kevin helper jumbo removed drill rod drilling hole instants breaks chain subjection table drilling machine sliding achieving rubbing index finger left hand causing injury,2016,5,3,Tuesday,18
110,Country_01,Local_04,Mining,1,III,Male,Employee,Others,approximately nv cx mr francisco operator scoop observes polyethylene pipe thrown road proceeding lower equipment found lifting pipe hook right gable piece rock suspended lectro welded mesh impacting operator right eyebrow causing injury,2016,5,4,Wednesday,18
111,Country_02,Local_05,Metals,1,III,Female,Third Party (Remote),Chemical substances,conducting inspection evaluate activity carried pump house ustulation steam station hit sulfuric acid spills line located pump house thermal recovery boiler,2016,5,4,Wednesday,18
112,Country_02,Local_05,Metals,1,III,Male,Third Party (Remote),Chemical substances,conducting inspection evaluate activity carried pump house ustulation steam station struck sulfuric acid spills line located house thermal recovery boiler pumps,2016,5,4,Wednesday,18
